Time,Pressure_bar
16.701000,-85.208661
16.721000,-85.222060
16.741000,-85.409647
16.761000,-85.222060
16.781000,-85.208661
16.801000,-85.195261
16.821000,-85.208661
16.841000,-85.195261
16.861000,-85.021073
16.881000,-85.222060
16.901000,-85.222060
16.922000,-85.034472
16.941000,-85.436445
16.961000,-85.181862
16.981000,-85.208661
17.001000,-85.208661
17.021000,-85.168463
17.042000,-85.195261
17.061000,-85.047871
17.081000,-85.195261
17.101000,-85.208661
17.121000,-85.168463
17.141000,-85.222060
17.161000,-85.181862
17.181000,-85.208661
17.201000,-85.047871
17.221000,-85.423046
17.241000,-85.195261
17.261000,-85.181862
17.281000,-85.034472
17.301000,-85.168463
17.321000,-85.195261
17.341000,-85.021073
17.361000,-85.423046
17.381000,-85.168463
17.401000,-85.195261
17.421000,-85.208661
17.441000,-85.168463
17.461000,-85.222060
17.481000,-85.021073
17.501000,-85.436445
17.521000,-85.155064
17.541000,-85.195261
17.561000,-85.222060
17.581000,-85.436445
17.601000,-85.222060
17.621000,-85.074669
17.641000,-85.436445
17.661000,-85.195261
17.681000,-85.208661
17.701000,-85.248858
17.721000,-85.181862
17.741000,-85.208661
17.761000,-85.061270
17.781000,-85.208661
17.801000,-85.181862
17.821000,-85.208661
17.841000,-85.235459
17.861000,-85.181862
17.881000,-85.222060
17.901000,-85.061270
17.921000,-85.423046
17.941000,-85.235459
17.961000,-85.181862
17.981000,-85.061270
18.002000,-85.168463
18.022000,-85.195261
18.041000,-85.047871
18.061000,-85.449845
18.081000,-85.208661
18.101000,-85.168463
18.121000,-85.235459
18.141000,-85.155064
18.161000,-85.208661
18.181000,-85.195261
18.201000,-85.436445
18.221000,-85.235459
18.241000,-85.195261
18.261000,-85.208661
18.281000,-85.423046
18.301000,-85.222060
18.321000,-85.047871
18.341000,-85.436445
18.361000,-85.208661
18.381000,-85.208661
18.401000,-85.222060
18.421000,-85.155064
18.441000,-85.195261
18.461000,-85.007674
18.481000,-85.208661
18.501000,-85.195261
18.521000,-85.195261
18.541000,-85.208661
18.561000,-85.195261
18.581000,-85.208661
18.601000,-85.061270
18.621000,-85.436445
18.641000,-85.195261
18.661000,-85.195261
18.681000,-85.034472
18.701000,-85.141665
